Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Alec Burleson","STL",142,612,557,156,105,26,2,22,72,82,45,2,86,5,4,1,,6,2,0.280066,0.0734793,0.14028,0.523803,0.336742,0.455212,0.341523,0.791955,0.175147,3.7489,0.295005,-0.654962,-0.466099,86.4856,14.1497,121.687,-1.12106,-0.109334,14.61474072933197,-10.942050151526928,2.45903,175.19000244140625,,,,,,,766,5.394366197,766,5.394366197,,,,,,,,,,,,,,,,,,,"Alec Burleson","27615",676475
"Sal Frelick","MIL",130,564,506,138,101,23,4,10,67,59,46,0,78,6,4,2,,16,5,0.272618,0.0817704,0.137537,0.594533,0.33799,0.392503,0.321107,0.730493,0.119885,5.49009,0.303194,0.467989,0.305913,70.2656,3.68371,106.308,0.773902,5.30082,4.986938834190369,0.0583806037902832,2.43375,216.39999389648438,,,,,,,622.7,4.79,622.7,4.79,,,,,,,,,,,,,,,,,,,"Sal Frelick","29622",686217
"Jarren Duran","BOS",138,598,538,139,80,35,8,16,78,70,48,1,141,7,4,1,,22,5,0.258734,0.0802949,0.236014,0.340212,0.325729,0.443616,0.331966,0.769344,0.184881,7.23425,0.320094,1.60082,1.52714,79.8777,9.18582,109.026,3.12796,2.61315,9.492945671081543,-6.38098931312561,2.42587,64.04000091552734,,,,,,,730.7,5.294927536,730.7,5.294927536,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Trevor Story","BOS",153,661,611,154,97,33,2,22,81,84,37,2,180,6,4,2,,23,3,0.252441,0.0564094,0.271814,0.20753,0.300214,0.420323,0.310485,0.720537,0.167882,5.76009,0.31955,0.231243,2.34532,76.7106,-1.37924,94.229,2.57656,-4.23831,-1.9187252521514893,2.842712879180908,2.42256,111.33000183105469,,,,,,,729.6,4.76862745,729.6,4.76862745,,,,,,,,,,,,,,,,,,,"Trevor Story","12564",596115
"Munetaka Murakami","CHW",135,584,490,117,71,19,0,28,76,80,85,6,200,6,3,0,,9,5,0.238999,0.146117,0.342146,0.427061,0.356432,0.445859,0.347887,0.802291,0.206859,3.12917,0.33694,-0.0776573,-1.07607,85.5741,16.5262,123.933,-1.15372,-1.76833,15.330161094665527,-11.905370116233826,2.40887,999,,,,,,,759.6,5.626666666,759.6,5.626666666,,,,,,,,,,,,,,,,,,,"Munetaka Murakami","37120",808959
"Jose Altuve","HOU",142,615,552,146,98,27,1,20,80,70,52,3,107,6,4,1,,13,4,0.264448,0.0851876,0.173772,0.490228,0.332715,0.425084,0.328654,0.757799,0.160636,4.4696,0.293731,-0.342716,-0.107654,80.4961,7.79263,111.516,-0.45037,-5.30787,7.901449054479599,-5.6782373785972595,2.39491,116.5199966430664,,,,,,,725.1,5.106338028,725.1,5.106338028,,,,,,,,,,,,,,,,,,,"Jose Altuve","5417",514888
"Colson Montgomery","CHW",138,598,535,117,68,19,3,26,72,82,49,1,180,9,4,1,,3,1,0.217785,0.0826675,0.301627,0.274072,0.292934,0.411848,0.305615,0.704781,0.194063,3.98886,0.271662,-0.0306445,-0.727081,67.0779,-3.61398,94.8134,-0.757726,0.754692,-4.415046215057373,7.164877355098724,2.38882,254.75,,,,,,,613.7,4.447101449,613.7,4.447101449,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
"Max Muncy","LAD",104,449,371,82,45,15,1,20,59,59,69,2,113,6,3,0,,2,0,0.220061,0.153379,0.25237,0.607756,0.349099,0.430832,0.341239,0.779932,0.210771,3.44734,0.25525,-0.698477,-0.465586,63.3812,10.2832,119.854,-1.16406,-2.5228,9.41053032875061,-1.2141584157943726,2.36781,234.3699951171875,,,,,,,554.2,5.328846153,554.2,5.328846153,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"Yainer Diaz","HOU",128,510,480,130,86,23,2,19,58,68,23,1,89,3,4,1,,1,1,0.27002,0.0442891,0.174445,0.253886,0.305,0.441788,0.320411,0.746788,0.171768,2.85082,0.295204,0.0108696,-0.767708,63.3584,3.04838,105.838,-0.756838,-2.11188,2.755408227443695,5.3942975997924805,2.3677,113.04000091552734,,,,,,,581.8,4.5453125,581.8,4.5453125,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Wilyer Abreu","BOS",119,515,452,111,65,25,1,21,66,70,56,3,128,3,3,0,,8,3,0.246027,0.109109,0.247839,0.440242,0.330616,0.444854,0.334036,0.775469,0.198827,3.98948,0.29384,-0.00869181,-0.445565,69.5974,8.76953,110.453,-0.454256,5.0766,5.888039201498032,-0.5385265350341797,2.36073,199.89999389648438,,,,,,,629,5.285714285,629,5.285714285,,,,,,,,,,,,,,,,,,,"Wilyer Abreu","23772",677800
"Jakob Marsee","MIA",134,577,495,116,74,24,5,13,73,58,67,0,123,7,3,5,,35,10,0.234107,0.116308,0.212696,0.546829,0.332361,0.380837,0.31644,0.713199,0.14673,6.7122,0.283451,0.487811,1.64929,69.8129,1.58699,101.016,2.1371,-0.845406,2.832323670387268,0.9186372756958008,2.34867,137.0800018310547,,,,,,,635.4,4.741791044,635.4,4.741791044,,,,,,,,,,,,,,,,,,,"Jakob Marsee","31370",805300
