Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Colt Keith","DET",114,491,439,115,75,23,2,15,62,61,45,1,104,3,3,0,,3,1,0.261653,0.0919911,0.212201,0.43351,0.332599,0.425168,0.329312,0.757768,0.163515,3.78931,0.30984,0.616186,-0.685781,64.4783,6.47896,111.144,-0.0695948,0.204412,6.377526335418224,-5.598057001829147,1.80884,502.489990234375,,,,,,,571,5.008771929,571,5.008771929,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
"Nolan Schanuel","LAA",141,608,524,139,99,24,1,15,74,65,69,2,86,10,4,2,,6,1,0.265259,0.113856,0.141929,0.802207,0.359037,0.40323,0.336312,0.762268,0.137971,3.67176,0.289928,-0.849569,-0.500636,83.3747,11.4882,115.039,-1.3502,-1.86576,9.433502316474915,-12.729958057403564,1.80583,594.6599731445312,,,,,,,716.3,5.080141843,716.3,5.080141843,,,,,,,,,,,,,,,,,,,"Nolan Schanuel","33189",694384
"Teoscar Hernández","LAD",136,588,540,140,85,27,1,27,73,88,38,1,156,6,4,1,,6,2,0.258865,0.0639256,0.264709,0.241494,0.311834,0.461175,0.331495,0.773009,0.20231,3.71703,0.312733,-0.606111,-0.443247,78.234,8.79811,113.179,-1.04936,-3.90431,8.129812002182007,-10.200602054595947,1.78788,125.41999816894531,,,,,,,719.6,5.29117647,719.6,5.29117647,,,,,,,,,,,,,,,,,,,"Teoscar Hernandez","13066",606192
"Jake Burger","TEX",137,591,546,135,78,26,1,30,72,90,33,1,148,9,4,0,,2,1,0.247497,0.0550311,0.250922,0.219315,0.298739,0.465454,0.326767,0.764194,0.217957,2.73701,0.282694,-0.130126,-0.856735,76.4529,6.58309,111.047,-0.986862,0.89388,6.712148487567902,-9.764916121959686,1.77064,236.72000122070312,,,,,,,700.1,5.110218978,700.1,5.110218978,,,,,,,,,,,,,,,,,,,"Jake Burger","22275",669394
"Spencer Horwitz","PIT",114,494,429,114,74,28,1,12,58,54,55,1,90,6,3,1,,2,1,0.266135,0.11209,0.181337,0.618127,0.355091,0.416752,0.33869,0.771842,0.150617,2.86899,0.309697,-0.335851,-0.817005,68.642,10.2801,115.715,-1.15286,1.84217,8.04680621623993,-7.176806926727295,1.76983,738.1500244140625,,,,,,,593.1,5.202631578,593.1,5.202631578,,,,,,,,,,,,,,,,,,,"Spencer Horwitz","26477",687462
"Heliot Ramos","SFG",146,629,566,145,95,27,2,22,75,76,48,2,150,10,4,1,,6,3,0.25641,0.0757633,0.239167,0.31678,0.323344,0.425304,0.324847,0.748648,0.168894,3.87374,0.310255,-0.221645,-0.7989,80.3604,6.02313,110.509,-1.02054,-3.0135,6.815505623817444,-10.445601463317871,1.7695,218.8000030517578,,,,,,,719.5,4.928082191,719.5,4.928082191,,,,,,,,,,,,,,,,,,,"Heliot Ramos","22515",671218
"Ryan O'Hearn","PIT",126,543,483,130,88,24,1,17,64,64,50,3,103,6,4,0,,3,1,0.269368,0.0923438,0.189165,0.488164,0.342527,0.429347,0.334951,0.771874,0.15998,3.3551,0.308903,-0.496031,-0.718923,73.7623,9.64641,113.154,-1.21495,-0.426896,7.244519114494324,-8.327821761369705,1.7357,285.44000244140625,,,,,,,651,5.166666666,651,5.166666666,,,,,,,,,,,,,,,,,,,"Ryan O'Hearn","16442",656811
"Harrison Bader","SFG",118,512,467,115,79,21,1,14,59,56,32,0,123,8,3,1,,15,6,0.245775,0.062967,0.241154,0.261107,0.303395,0.387215,0.302008,0.69061,0.14144,4.833,0.302009,-0.00995785,-0.10109,55.8616,-4.58851,94.864,-0.111048,1.29155,-3.225311815738678,3.1187068223953247,1.73005,554.3099975585938,,,,,,,506.9,4.295762711,506.9,4.295762711,,,,,,,,,,,,,,,,,,,"Harrison Bader","18030",664056
"Jo Adell","LAA",139,601,546,128,71,23,1,33,73,91,41,1,164,10,4,1,,9,4,0.234778,0.068846,0.273075,0.252113,0.298201,0.461105,0.325307,0.759306,0.226327,4.11627,0.270827,-0.139718,-0.68172,77.053,5.98337,107.458,-0.821439,-3.09957,4.4654916524887085,-8.3588285446167,1.7204,120.33000183105469,,,,,,,712.3,5.124460431,712.3,5.124460431,,,,,,,,,,,,,,,,,,,"Jo Adell","20220",666176
"Cole Young","SEA",99,429,376,90,60,18,2,9,48,48,42,1,76,6,3,2,,5,2,0.238307,0.0987717,0.177459,0.556588,0.322168,0.368984,0.306019,0.691152,0.130677,4.27452,0.274627,0.0263172,-0.647704,48.1987,-2.44868,101.88,-0.621387,0.0317939,0.3285406827926636,1.6614235416054726,1.71351,704.2899780273438,,,,,,,424.1,4.283838383,424.1,4.283838383,,,,,,,,,,,,,,,,,,,"Cole Young","31680",702284
"Kyle Manzardo","CLE",118,512,451,107,60,23,2,23,60,70,52,2,124,6,3,0,,2,0,0.238235,0.100741,0.242163,0.416002,0.322175,0.448181,0.332328,0.770355,0.209946,3.07433,0.275323,-0.0326144,-0.51371,68.4556,8.00557,114.657,-0.546325,1.03628,8.291548550128937,-9.383478045463562,1.69043,253.4600067138672,,,,,,,620.3,5.256779661,620.3,5.256779661,,,,,,,,,,,,,,,,,,,"Kyle Manzardo","29794",700932
"Eugenio Suárez","CIN",140,605,537,126,67,23,1,36,78,96,53,1,184,11,4,1,,3,1,0.234911,0.0867722,0.304045,0.285392,0.31321,0.478652,0.339088,0.791862,0.243741,3.10535,0.281598,-1.16152,-0.670477,84.3065,12.7927,112.991,-1.83199,-0.00214985,7.487224459648132,-11.108167917933315,1.68913,97.91999816894531,,,,,,,774.3,5.530714285,774.3,5.530714285,,,,,,,,,,,,,,,,,,,"Eugenio Suarez","12552",553993
"Spencer Torkelson","DET",146,629,550,128,71,28,1,27,79,86,67,3,165,7,4,1,,2,1,0.232367,0.106734,0.262092,0.407238,0.321202,0.437258,0.327596,0.758459,0.20489,2.97504,0.277278,0.0815392,-0.80667,81.7645,7.42729,109.961,-0.72513,-0.368378,6.661359369754791,-11.849859178066254,1.68531,188.35000610351562,,,,,,,730.5,5.003424657,730.5,5.003424657,,,,,,,,,,,,,,,,,,,"Spencer Torkelson","27465",679529
"Nick Gonzales","PIT",100,431,394,104,68,24,4,8,48,47,28,0,89,6,3,1,,3,2,0.263532,0.0637902,0.206304,0.309205,0.318498,0.403377,0.314417,0.721875,0.139845,4.24453,0.319588,0.132894,-0.88629,51.4407,0.47677,99.0871,-0.753396,1.51657,-1.220084935426712,3.305463433265686,1.68112,999,,,,,,,458.1,4.581,458.1,4.581,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Victor Scott II","STL",130,564,499,113,84,19,2,8,63,49,45,0,121,9,4,6,,39,8,0.227221,0.0800472,0.214808,0.372644,0.301249,0.324534,0.280393,0.625783,0.0973132,6.75032,0.281686,0.265287,3.8308,51.6388,-14.9431,79.8115,4.09609,5.06142,-9.387089729309082,7.0739195346832275,1.68089,391.1300048828125,,,,,,,489.2,3.763076923,489.2,3.763076923,,,,,,,,,,,,,,,,,,,"Victor Scott II","31349",687363
"Connor Norby","MIA",114,494,449,112,72,24,2,15,61,57,35,0,132,5,3,1,,9,3,0.250411,0.0712278,0.267753,0.26602,0.3101,0.408623,0.312881,0.718723,0.158212,4.82311,0.319869,-0.256687,0.0005812,58.292,-0.0698536,98.5776,-0.256106,0.240479,-1.088795781135559,0.9610038697719574,1.66774,728.1400146484375,,,,,,,528.9,4.639473684,528.9,4.639473684,,,,,,,,,,,,,,,,,,,"Connor Norby","29592",681393
"Kyle Teel","CHW",92,371,323,80,55,14,1,10,41,38,41,0,93,3,3,1,,5,2,0.246546,0.1111,0.251142,0.442379,0.335489,0.386011,0.319469,0.721501,0.139465,3.66381,0.313123,-0.210141,-0.324363,45.8293,1.93455,104.357,-0.534504,-1.50924,1.3731341361999512,1.0995514392852783,1.58941,266.8800048828125,,,,,,,401.2,4.360869565,401.2,4.360869565,,,,,,,,,,,,,,,,,,,"Kyle Teel","33549",691019
"Brett Baty","NYM",101,438,394,98,64,16,2,17,53,56,37,0,107,3,3,1,,5,1,0.249642,0.085284,0.245044,0.348035,0.317892,0.427751,0.323679,0.745643,0.178109,4.242,0.298994,-0.0954513,-0.243928,55.5663,3.78042,110.617,-0.339379,0.686845,5.1754864156246185,-4.25744491815567,1.58536,292.9200134277344,,,,,,,499.1,4.941584158,499.1,4.941584158,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Pedro Pagés","STL",90,356,326,74,50,14,1,9,34,39,23,1,92,3,2,2,,1,0,0.228039,0.0658302,0.257327,0.255823,0.284035,0.361112,0.281995,0.645148,0.133073,2.71194,0.286041,-0.342675,-0.369395,33.1042,-8.98216,80.9091,-0.712071,2.64994,-8.771425426006317,9.606725454330444,1.58363,748.2899780273438,,,,,,,299.2,3.324444444,299.2,3.324444444,,,,,,,,,,,,,,,,,,,"Pedro Pages","25782",686780
"Ryan McMahon","NYY",112,484,422,89,54,17,1,16,53,55,54,2,157,3,3,1,,3,2,0.209916,0.112303,0.32391,0.346711,0.302515,0.369528,0.296209,0.672044,0.159612,2.97566,0.286802,0.070837,-0.927783,50.5633,-6.61921,89.7193,-0.856946,3.78623,-6.720970094203949,5.5146225690841675,1.58131,732.8599853515625,,,,,,,452.9,4.04375,452.9,4.04375,,,,,,,,,,,,,,,,,,,"Ryan McMahon","15112",641857
"Ha-Seong Kim","ATL",97,417,364,89,62,16,1,9,47,43,46,1,77,3,3,1,,15,4,0.243714,0.1094,0.183927,0.594803,0.330973,0.372504,0.311211,0.703478,0.12879,5.05198,0.282815,0.0388168,0.507699,48.695,-0.624948,98.3038,0.546516,-2.92528,-0.29262828826904297,1.5469424724578857,1.54874,748.3800048828125,,,,,,,435.4,4.488659793,435.4,4.488659793,,,,,,,,,,,,,,,,,,,"Ha-Seong Kim","27506",673490
"Brooks Lee","MIN",137,591,544,134,91,26,2,16,63,67,39,1,102,4,4,1,,5,2,0.24725,0.0655311,0.172152,0.380658,0.299821,0.390365,0.300278,0.690186,0.143115,3.68828,0.275403,-0.487697,-0.644323,63.7354,-6.1345,90.6359,-1.13202,-3.82996,-7.658341646194458,2.4063069820404053,1.54562,542.5700073242188,,,,,,,576.5,4.208029197,576.5,4.208029197,,,,,,,,,,,,,,,,,,,"Brooks Lee","31595",686797
"Josh Bell","MIN",132,570,499,126,81,23,1,21,65,68,62,1,109,5,4,1,,1,1,0.252349,0.109248,0.190841,0.572453,0.339006,0.426793,0.334211,0.765799,0.174444,2.1402,0.282359,-0.964674,-1.36334,77.2024,9.79857,114.011,-2.32801,-0.513131,7.0925657749176025,-11.693686604499817,1.5387,636.3300170898438,,,,,,,676.5,5.125,676.5,5.125,,,,,,,,,,,,,,,,,,,"Josh Bell","13145",605137
"Christian Walker","HOU",134,581,519,119,68,23,1,26,67,78,50,2,149,8,4,1,,3,1,0.229022,0.0854858,0.257334,0.332197,0.304366,0.428156,0.316551,0.732522,0.199135,3.13442,0.267504,-0.555938,-0.604821,70.2674,1.64842,103.179,-1.16076,4.36076,1.01543390750885,-6.05899715423584,1.52966,212.94000244140625,,,,,,,641.1,4.784328358,641.1,4.784328358,,,,,,,,,,,,,,,,,,,"Christian Walker","13419",572233
"Salvador Perez","KCR",150,614,569,144,90,27,1,27,65,89,30,5,126,11,4,0,,0,0,0.253637,0.0492943,0.20489,0.240589,0.301888,0.445846,0.318674,0.747733,0.192209,1.6235,0.279442,-2.14112,-0.81193,75.3726,2.80184,101.05,-2.95305,-2.42424,-2.1932790279388428,-1.4055684804916382,1.52819,91.13999938964844,,,,,,,698.2,4.654666666,698.2,4.654666666,,,,,,,,,,,,,,,,,,,"Salvador Perez","7304",521692
"Adolis García","PHI",140,605,552,133,78,27,1,27,74,85,42,1,157,6,4,1,,12,4,0.240228,0.069707,0.259753,0.268358,0.299663,0.438154,0.317524,0.737816,0.197926,4.15107,0.284358,0.0285718,-0.0645839,73.7098,2.19599,101.489,-0.0360121,0.161244,1.031941618770361,-6.323478564620018,1.51821,213.99000549316406,,,,,,,686.2,4.901428571,686.2,4.901428571,,,,,,,,,,,,,,,,,,,"Adolis Garcia","19287",666969
"Jonathan India","KCR",114,494,425,105,69,24,1,11,59,47,53,0,93,12,3,1,,5,2,0.246183,0.106959,0.187847,0.569397,0.343145,0.384862,0.323741,0.728007,0.138679,3.82781,0.289028,0.282327,-0.866693,62.6474,4.2855,104.54,-0.584366,-3.27805,2.058886766433716,-4.296719551086426,1.51094,607.719970703125,,,,,,,540.6,4.742105263,540.6,4.742105263,,,,,,,,,,,,,,,,,,,"Jonathan India","21523",663697
"Agustín Ramírez","MIA",119,490,444,109,64,26,1,18,62,63,37,2,96,5,3,0,,12,3,0.246282,0.0746682,0.196273,0.380429,0.309243,0.432348,0.319795,0.741591,0.186066,4.86136,0.273306,-0.376563,0.462127,60.5488,2.68016,103.314,0.0855634,-3.71987,2.0093336030840874,-4.06771183013916,1.50083,86.8499984741211,,,,,,,557.1,4.681512605,557.1,4.681512605,,,,,,,,,,,,,,,,,,,"Agustin Ramirez","26546",682663
"Jac Caglianone","KCR",105,452,406,104,64,19,1,20,57,62,36,2,96,6,3,0,,3,1,0.256354,0.0801628,0.211646,0.378758,0.324297,0.455522,0.335612,0.779819,0.199168,3.41243,0.287187,0.0339631,-0.440323,61.7113,8.28138,112.717,-0.40636,-1.69358,6.371549874544144,-7.333552956581116,1.49444,164.58999633789062,,,,,,,554.1,5.277142857,554.1,5.277142857,,,,,,,,,,,,,,,,,,,"Jac Caglianone","35041",695506
"Kyle Stowers","MIA",111,480,424,102,59,21,2,20,57,61,45,2,136,6,3,1,,4,1,0.239783,0.0945999,0.284037,0.333055,0.319262,0.437858,0.326766,0.75712,0.198075,4.15642,0.302354,0.229908,-0.490935,62.0614,5.34356,108.089,-0.261028,-0.793626,4.3411847949028015,-5.93668133020401,1.47023,164.42999267578125,,,,,,,565.3,5.092792792,565.3,5.092792792,,,,,,,,,,,,,,,,,,,"Kyle Stowers","26151",669065
"Ke'Bryan Hayes","CIN",124,536,490,119,87,20,2,10,55,53,37,1,107,4,4,1,,11,3,0.243685,0.069436,0.198926,0.349054,0.300648,0.354655,0.288213,0.655303,0.11097,4.91409,0.290276,0.17687,0.185629,52.4895,-10.8044,78.14,0.362499,8.12858,-13.516063004732132,10.041701197624207,1.46739,999,,,,,,,475.3,3.833064516,475.3,3.833064516,,,,,,,,,,,,,,,,,,,"Ke'Bryan Hayes","18577",663647
"Parker Meadows","DET",102,442,393,90,57,17,5,11,51,48,42,1,111,3,3,2,,12,3,0.228941,0.0943257,0.249762,0.377663,0.305145,0.379343,0.29988,0.684488,0.150401,6.61828,0.288542,0.337037,0.47096,47.5479,-4.73322,90.8688,0.807997,1.45573,-3.9539194107055664,3.035979151725769,1.4647,745.6900024414062,,,,,,,441.6,4.329411764,441.6,4.329411764,,,,,,,,,,,,,,,,,,,"Parker Meadows","23800",678009
"Tyler O'Neill","BAL",100,431,378,90,54,15,1,20,54,56,45,2,121,5,3,0,,5,1,0.238182,0.105451,0.279536,0.377235,0.32521,0.440806,0.330917,0.766016,0.202624,4.11083,0.292171,0.0222544,-0.121939,57.2191,6.25516,113.945,-0.099685,-1.3939,6.9892484694719315,-7.804086685180664,1.43598,477.6400146484375,,,,,,,519.9,5.199,519.9,5.199,,,,,,,,,,,,,,,,,,,"Tyler O'Neill","15711",641933
"Nathan Lukes","TOR",80,348,311,84,59,16,2,7,42,39,29,1,55,3,2,2,,3,2,0.269819,0.0843503,0.157422,0.535823,0.336285,0.399802,0.32215,0.736086,0.129983,4.04653,0.305626,-0.00260683,-0.684687,43.6685,2.56862,107.065,-0.687294,3.06002,2.2090630531311035,-0.16991519927978516,1.43391,999,,,,,,,379.1,4.73875,379.1,4.73875,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Jordan Lawlar","ARI",118,512,455,108,67,26,3,11,63,56,45,1,135,6,3,2,,19,5,0.237257,0.0877314,0.264322,0.331911,0.312472,0.384111,0.305275,0.696583,0.146855,6.41072,0.30983,0.177809,1.11009,57.2186,-3.23146,93.7244,1.2879,0.770231,-2.51734459400177,-0.5137192010879517,1.43084,261.6499938964844,,,,,,,520.8,4.413559322,520.8,4.413559322,,,,,,,,,,,,,,,,,,,"Jordan Lawlar","29976",691783
"Nolan Gorman","STL",122,529,469,104,60,19,1,24,62,70,53,1,169,2,4,1,,4,1,0.221271,0.101149,0.319599,0.316487,0.301397,0.417596,0.31153,0.718993,0.196325,3.2919,0.286139,-0.930531,-0.506173,61.8172,-0.654697,101.141,-1.4367,0.504472,-0.7216084003448486,-2.9739230275154114,1.42109,653.1400146484375,,,,,,,569.6,4.668852459,569.6,4.668852459,,,,,,,,,,,,,,,,,,,"Nolan Gorman","22263",669357
"Jose Trevino","CIN",71,280,258,64,43,12,0,8,29,31,17,0,43,2,2,1,,2,0,0.247441,0.0596001,0.153973,0.38708,0.296661,0.387785,0.298264,0.684446,0.140343,2.89135,0.268004,-0.232352,-0.307462,29.707,-3.36085,85.0255,-0.539814,-0.882937,-5.506774127483368,4.583111882209778,1.40699,999,,,,,,,271.2,3.819718309,271.2,3.819718309,,,,,,,,,,,,,,,,,,,"Jose Trevino","16725",624431
"Brady House","WSN",130,564,529,132,89,25,2,17,61,69,26,1,152,5,4,1,,6,3,0.249712,0.0458334,0.270123,0.169676,0.288521,0.398027,0.296747,0.686548,0.148315,3.91435,0.316987,0.0495774,-0.700322,59.1209,-7.46095,88.8867,-0.650745,0.977022,-8.072927296161652,2.9895222783088684,1.39746,710.1199951171875,,,,,,,549.9,4.23,549.9,4.23,,,,,,,,,,,,,,,,,,,"Brady House","29993",691781
"Kerry Carpenter","DET",114,491,447,112,66,19,4,23,63,71,33,2,119,6,3,1,,3,2,0.250654,0.0673315,0.241456,0.278857,0.309275,0.463065,0.330272,0.77234,0.212411,4.21394,0.288807,-0.155669,-0.802301,64.8611,6.86168,111.805,-0.95797,-0.431334,5.871868848800659,-9.147383630275726,1.39396,236.22000122070312,,,,,,,591.4,5.187719298,591.4,5.187719298,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Luis García Jr.","WSN",113,487,455,123,82,24,2,15,57,61,26,1,76,2,3,0,,13,5,0.269191,0.0543113,0.155684,0.348857,0.309653,0.426392,0.317248,0.736045,0.157201,4.8096,0.292689,-0.0266475,-0.104256,59.1977,1.65784,102.93,-0.130903,0.317672,1.560433804988861,-4.303624629974365,1.37648,261.8500061035156,,,,,,,550.5,4.871681415,550.5,4.871681415,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Isaac Collins","KCR",103,445,380,91,59,20,4,9,54,45,55,1,93,6,3,2,,14,5,0.239817,0.122623,0.209115,0.586389,0.341528,0.380924,0.3205,0.722453,0.141107,6.03676,0.293481,0.140043,-0.0571443,55.299,2.69111,102.307,0.0828989,1.49637,1.2936704456806183,-3.2739983797073364,1.36574,666.1699829101562,,,,,,,490.6,4.763106796,490.6,4.763106796,,,,,,,,,,,,,,,,,,,"Isaac Collins","25477",686555
"Garrett Mitchell","MIL",85,369,323,75,48,15,3,9,45,42,38,0,112,3,2,2,,13,3,0.232388,0.102269,0.304163,0.336232,0.316752,0.383117,0.308393,0.699869,0.150729,6.39185,0.321922,0.0831475,0.642939,42.1704,-1.39551,97.5992,0.726087,0.350825,-0.3230692148208618,1.3694976270198822,1.36176,691.1699829101562,,,,,,,381.5,4.488235294,381.5,4.488235294,,,,,,,,,,,,,,,,,,,"Garrett Mitchell","27555",669003
"Danny Jansen","TEX",89,350,303,66,37,14,0,14,40,41,38,0,81,5,2,1,,1,0,0.216129,0.109692,0.230956,0.474948,0.312038,0.401873,0.313546,0.71391,0.185744,2.35441,0.245278,-0.391048,-0.459176,41.4742,0.139469,101.939,-0.850224,-1.95838,-0.050581276416778564,4.8741782903671265,1.35892,999,,,,,,,369.7,4.153932584,369.7,4.153932584,,,,,,,,,,,,,,,,,,,"Danny Jansen","16535",643376
"Lars Nootbaar","STL",82,355,305,76,49,15,1,11,44,37,44,1,72,2,2,1,,5,2,0.247743,0.1235,0.201794,0.612009,0.344631,0.408644,0.330441,0.753275,0.160901,4.14578,0.288114,0.316141,-0.272822,46.93,5.00808,114.096,0.0433186,-0.928934,5.970604728907347,-4.53155779838562,1.35458,745.989990234375,,,,,,,415.1,5.062195121,415.1,5.062195121,,,,,,,,,,,,,,,,,,,"Lars Nootbaar","21454",663457
"Max Muncy","ATH",93,403,366,89,57,20,1,12,44,52,26,1,113,7,3,2,,4,2,0.24379,0.0651494,0.279939,0.232727,0.304571,0.398351,0.306148,0.702921,0.154561,3.86697,0.318086,0.036758,-0.655692,45.4131,-2.26284,92.6181,-0.618934,1.74016,-4.129510998725891,3.330281972885132,1.33955,672.719970703125,,,,,,,409.9,4.407526881,409.9,4.407526881,,,,,,,,,,,,,,,,,,,"Max Muncy","29779",691777
"Sean Murphy","ATL",93,381,332,72,42,15,1,15,43,45,38,1,103,7,3,1,,1,0,0.217954,0.0994001,0.270838,0.367009,0.309223,0.399126,0.310244,0.708349,0.181171,2.72105,0.266127,-0.144012,-0.503062,44.1293,-0.869269,97.6412,-0.647074,0.0369549,-1.7117716670036316,1.2792387120425701,1.33838,746.0599975585938,,,,,,,398.3,4.282795698,398.3,4.282795698,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Daylen Lile","WSN",130,563,515,136,90,25,10,11,67,67,37,0,102,7,4,1,,14,6,0.264807,0.066066,0.181404,0.364193,0.320349,0.418046,0.320335,0.738395,0.15324,6.61521,0.308525,0.627778,-0.355794,69.9125,3.33059,105.045,0.271985,-1.57095,3.6413369178771973,-9.397343873977661,1.32864,206.50999450683594,,,,,,,621.3,4.779230769,621.3,4.779230769,,,,,,,,,,,,,,,,,,,"Daylen Lile","29995",695734
"Dylan Beavers","BAL",85,369,318,77,50,14,2,11,44,40,45,0,85,3,3,1,,10,3,0.242381,0.1211,0.231007,0.524226,0.33797,0.397225,0.324171,0.735195,0.154844,4.95288,0.295665,-0.0343924,0.0572018,46.8934,3.32748,109.297,0.0228094,-0.330413,4.0630382262170315,-3.783962070941925,1.32735,505.0400085449219,,,,,,,423.2,4.978823529,423.2,4.978823529,,,,,,,,,,,,,,,,,,,"Dylan Beavers","31695",687637
"Denzel Clarke","ATH",109,473,423,95,61,20,4,10,57,50,37,0,157,9,3,2,,16,4,0.225415,0.0773654,0.330971,0.233753,0.298106,0.36397,0.29192,0.662076,0.138554,7.00278,0.328784,0.07072,0.977169,47.7784,-8.11747,82.8174,1.04789,3.4818,-8.532439351081848,5.171307444572449,1.32249,728.3300170898438,,,,,,,441,4.045871559,441,4.045871559,,,,,,,,,,,,,,,,,,,"Denzel Clarke","29858",672016
"Yoán Moncada","LAA",104,449,397,94,58,19,2,14,50,51,43,1,126,5,3,0,,1,0,0.235991,0.0965477,0.280941,0.343658,0.317267,0.404335,0.315008,0.721602,0.168343,3.53048,0.305898,-0.289902,-0.52062,53.8106,0.712582,100.363,-0.810522,-2.37649,-0.6182715743780136,-1.9567372798919678,1.31951,746.1500244140625,,,,,,,473.4,4.551923076,473.4,4.551923076,,,,,,,,,,,,,,,,,,,"Yoan Moncada","17232",660162
"Victor Caratini","MIN",98,403,359,90,65,14,0,11,40,44,32,0,71,9,3,0,,1,0,0.250932,0.0789392,0.176143,0.448154,0.325437,0.381949,0.312613,0.707386,0.131017,2.40035,0.283601,-0.645996,-0.526588,47.5311,-0.144815,99.1333,-1.17258,0.01432,-1.5847619771957397,0.5857705529779196,1.319,681.02001953125,,,,,,,413.9,4.223469387,413.9,4.223469387,,,,,,,,,,,,,,,,,,,"Victor Caratini","14968",605170
"Samuel Basallo","BAL",108,449,406,97,56,20,0,20,54,62,36,2,110,4,3,0,,2,1,0.238138,0.0800941,0.245587,0.326133,0.304828,0.437152,0.319326,0.74198,0.199013,2.59187,0.274877,-0.0129171,-0.655349,55.3893,2.28817,105.96,-0.668266,-1.57035,2.4886444211006165,-4.7754470109939575,1.31601,160.94000244140625,,,,,,,504.2,4.668518518,504.2,4.668518518,,,,,,,,,,,,,,,,,,,"Samuel Basallo","28824",694212
"Tommy Edman","LAD",93,401,366,91,60,18,1,11,46,47,26,0,71,4,3,1,,7,1,0.248888,0.0654001,0.177171,0.369135,0.304629,0.398839,0.306471,0.703468,0.149951,4.69106,0.278241,0.22668,0.181911,45.2364,-2.14341,96.0371,0.408591,-0.484586,-1.4748055040836334,0.9968953132629395,1.31564,730.1199951171875,,,,,,,405.4,4.359139784,405.4,4.359139784,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Bryan Reynolds","PIT",148,640,572,144,93,29,3,19,72,75,55,2,157,8,4,0,,5,2,0.252422,0.0863575,0.245671,0.351516,0.324861,0.412895,0.321415,0.737756,0.160474,3.87323,0.313466,-0.0241326,-0.740798,79.9681,4.34427,103.881,-0.76493,-3.3607,2.179371953010559,-10.71501898765564,1.30466,204.72000122070312,,,,,,,707.1,4.777702702,707.1,4.777702702,,,,,,,,,,,,,,,,,,,"Bryan Reynolds","19326",668804
"Josh Lowe","LAA",117,505,458,114,70,25,3,16,60,60,40,2,139,3,3,1,,21,4,0.248682,0.0789914,0.274866,0.287382,0.310405,0.418124,0.314589,0.728529,0.169442,6.1595,0.31997,-0.211293,1.93597,60.2618,0.628631,100.074,1.72468,-1.09081,1.7689401470124722,-6.3994492292404175,1.30403,297.0899963378906,,,,,,,578.1,4.941025641,578.1,4.941025641,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Kyle Higashioka","TEX",71,280,259,59,36,12,1,11,30,36,17,0,69,1,2,1,,2,1,0.229373,0.0604118,0.247196,0.244388,0.278255,0.405227,0.295116,0.683482,0.175854,3.65167,0.26938,-0.531801,-0.268151,29.0535,-4.08477,89.2438,-0.799951,-0.476452,-4.355454325675964,4.691449731588364,1.28607,999,,,,,,,270.3,3.807042253,270.3,3.807042253,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Carson Williams","TBR",108,466,418,87,52,15,3,16,55,54,39,0,162,4,3,2,,14,5,0.207023,0.0826476,0.347517,0.237823,0.278574,0.3761,0.286202,0.654674,0.169077,6.2327,0.289031,-0.0926906,-0.0638737,44.9116,-10.1623,80.8151,-0.156564,2.12656,-10.695948243141174,7.120537519454956,1.27606,724.5499877929688,,,,,,,421.8,3.905555555,421.8,3.905555555,,,,,,,,,,,,,,,,,,,"Carson Williams","30038",700246
"Marcell Ozuna","PIT",121,522,451,111,69,21,0,21,61,64,65,1,124,3,3,0,,0,0,0.246404,0.123888,0.238506,0.519434,0.342513,0.434096,0.338613,0.776609,0.187692,1.42032,0.29161,-0.696275,-0.875071,72.4768,10.8269,115.663,-1.57135,0,8.114250540733337,-13.043981552124023,1.27114,377.510009765625,,,,,,,632.9,5.230578512,632.9,5.230578512,,,,,,,,,,,,,,,,,,,"Marcell Ozuna","10324",542303
