Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jeff Criswell","COL",1,1,0,4.84705,18,0,0,1,,18,78,18,10,10,3,7,,1,17,8.41152,3.54679,2.37159,1.43,0.213839,0.090167,0.1236717626452446,0.261249,1.42285,0.305824,0.707795,,,4.62976,-0.00369192,0.00736451,999,,,,,,,63.500000000000014,3.5277777777777786,65,3.611111111111111,,,,,,,,,,,,,,,,,,,"Jeff Criswell","27608",676105
"Chad Green",,1,2,0,4.52934,30,0,0,0,,30,128,30,16,15,5,10,,1,27,8.03386,3.09437,2.59628,1.462,0.207274,0.079835,0.12743904441595078,0.25254,1.3348,0.288794,0.722254,,,4.60929,-0.00371889,-0.0341503,999,,,,,,,103.5,3.45,106,3.533333333333333,,,,,,,,,,,,,,,,,,,"Chad Green","15552",643338
"Nolan Hoffman","PHI",1,1,0,4.20267,13,0,0,1,,13,56,12,7,6,2,6,,1,12,8.10242,4.12495,1.96425,1.062,0.206522,0.10514,0.10138139128684998,0.248617,1.41373,0.296467,0.726457,,,4.41759,-0.00379126,-0.0100731,999,,,,,,,47.39999999999999,3.6461538461538456,46,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Nolan Hoffman","23381",676510
"Carson Coleman","NYY",0,0,0,4.95102,6,0,0,0,,6,37,6,3,3,1,3,,0,7,10.0377,4.81537,2.08451,1.42427,0.17661,0.0847252,0.09188506752252579,0.182654,1.58252,0.199323,0.747508,,,4.70258,-0.00384525,-0.00330854,999,,,,,,,21.500000000000007,3.5833333333333344,22,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Carson Coleman","sa3014857",679693
"Tyler Gilbert","CHW",1,2,0,4.70408,36,0,0,1,,36,156,36,20,19,5,14,,1,32,7.96324,3.41215,2.33379,1.3401,0.20338,0.0871455,0.11623410880565643,0.256032,1.38629,0.295949,0.69749,,,4.55154,-0.00410981,-0.0715648,999,,,,,,,134.30000000000004,3.7305555555555565,138,3.8333333333333335,,,,,,,,,,,,,,,,,,,"Tyler Gilbert","17964",656457
"Rico Garcia","BAL",3,3,0,4.30547,57,0,0,11,,57,244,53,29,27,8,23,,2,57,9.04356,3.69275,2.44901,1.347,0.233625,0.0953958,0.13822932541370392,0.242298,1.34452,0.290451,0.734144,,,4.40746,-0.00422787,-0.0275447,999,,,,,,,268.59999999999997,4.712280701754385,264,4.631578947368421,,,,,,,,,,,,,,,,,,,"Rico Garcia","20023",670329
"Jacob Webb","CHC",3,3,0,4.33009,54,0,0,11,,54,229,49,28,26,8,21,,3,51,8.56882,3.49711,2.45026,1.32093,0.223385,0.0911681,0.13221710175275803,0.237155,1.29611,0.278882,0.713001,,,4.44488,-0.00425285,-0.0130642,999,,,,,,,247.80000000000004,4.5888888888888895,240,4.444444444444445,,,,,,,,,,,,,,,,,,,"Jacob Webb","19274",657097
"Tyler Schweitzer","CHW",0,1,0,4.27647,10,0,0,1,,10,43,10,5,5,1,4,,0,8,6.81826,3.32659,2.04963,1.24,0.174851,0.0853089,0.08954249322414398,0.260574,1.39335,0.292068,0.732802,,,4.62309,-0.00427364,-0.00254267,999,,,,,,,43.7,4.37,45,4.5,,,,,,,,,,,,,,,,,,,"Tyler Schweitzer","sa3020712",805326
"Daison Acosta","SDP",0,0,0,4.23148,6,0,0,1,,6,26,5,3,3,1,3,,0,6,8.79187,4.44295,1.97884,1.177,0.223905,0.11315,0.11075489968061447,0.238571,1.4054,0.287751,0.735844,,,4.50521,-0.00452937,-0.00314052,999,,,,,,,26.10000000000001,4.350000000000001,24,4,,,,,,,,,,,,,,,,,,,"Daison Acosta","sa944989",670897
"Kyle Backhus","PHI",3,4,0,4.363,52,0,0,7,,52,223,49,27,25,7,21,,3,49,8.57077,3.63096,2.36047,1.18203,0.22061,0.09346,0.12714973837137222,0.248122,1.35785,0.297903,0.709019,,,4.34837,-0.00463473,-0.0118176,999,,,,,,,225.30000000000004,4.332692307692309,223,4.288461538461538,,,,,,,,,,,,,,,,,,,"Kyle Backhus","29615",679775
"Joey Estes","ATH",1,2,0,4.58695,30,0,0,1,,30,127,31,16,15,5,7,,2,24,7.35216,2.1256,3.45886,1.609,0.191891,0.055478,0.13641254231333733,0.259253,1.2647,0.285958,0.714435,,,4.69508,-0.00470717,-0.0250896,999,,,,,,,104.9,3.496666666666667,110,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Joey Estes","26257",683155
"Jose Espada","BAL",1,1,0,4.49921,17,0,0,1,,17,74,16,9,8,2,8,,1,16,8.66307,4.12985,2.09767,1.313,0.220426,0.105081,0.11534468829631805,0.247626,1.41809,0.29413,0.727743,,,4.58607,-0.00501473,-0.0262763,999,,,,,,,68.60000000000002,4.0352941176470605,68,4,,,,,,,,,,,,,,,,,,,"Jose Espada","21131",664744
"Andrew Walters","CLE",1,1,0,4.12271,30,0,0,1,,30,128,26,15,14,4,14,,1,33,10.0008,4.28185,2.33562,1.203,0.257354,0.110187,0.14716730266809464,0.23037,1.3516,0.29025,0.739829,,,4.1981,-0.00513367,-0.0198451,999,,,,,,,130.20000000000002,4.340000000000001,123,4.1,,,,,,,,,,,,,,,,,,,"Andrew Walters","33834",689958
"Gordon Graceffo","STL",2,2,0,4.05107,44,0,0,1,,44,187,44,21,20,5,13,,2,35,7.20166,2.69366,2.67356,1.101,0.187244,0.0700353,0.11720848083496094,0.258344,1.31673,0.296806,0.723379,,,4.13074,-0.00558287,0.0143243,999,,,,,,,178.70000000000002,4.0613636363636365,184,4.181818181818182,,,,,,,,,,,,,,,,,,,"Gordon Graceffo","29519",700669
"Emiliano Teodo","TEX",1,1,0,4.32528,12,0,0,1,,12,53,11,6,6,1,7,,1,12,8.88446,4.92265,1.80481,1.089,0.223592,0.123887,0.09970562905073166,0.240941,1.46703,0.294806,0.730982,,,4.52293,-0.00562759,-0.00656748,999,,,,,,,51.90000000000001,4.325000000000001,51,4.25,,,,,,,,,,,,,,,,,,,"Emiliano Teodo","sa3015158",693713
"Josh Staumont","CIN",1,1,0,4.54971,12,0,0,1,,12,52,11,6,6,2,6,,0,12,8.98898,4.49332,2.00052,1.332,0.227319,0.11363,0.11368919909000397,0.243411,1.43717,0.291866,0.729313,,,4.68317,-0.00567627,0.00851479,999,,,,,,,45.600000000000016,3.800000000000001,44,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Josh Staumont","18335",622251
"Randy Dobnak","SEA",0,0,0,3.91652,10,0,0,1,,10,42,10,5,4,1,3,,0,8,7.07563,3.01588,2.34612,0.994,0.183101,0.0780442,0.10505717247724533,0.256458,1.33806,0.296105,0.727861,,,4.1472,-0.00575474,-0.0163599,999,,,,,,,46.7,4.67,48,4.8,,,,,,,,,,,,,,,,,,,"Randy Dobnak","23798",677976
